"loan_amnt","funded_amnt","funded_amnt_inv","term","batch_enrolled","int_rate","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","address","dti","delinq_2yrs","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","collections_12_mths_ex_med","last_week_pay","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","no_funded_amnt"
"8800","8800","8800.0","36 months","BAT6004464","11.22","B","B5","Customer Field Representative","3 years","RENT","44995","113xx,NY","12.58","0","1","19","0","6778","53","32","87.76","0","0","0","0","4th week","0","0","19359","12800","1.0"
"26125","26125","26125.0","36 months","BAT422167","10.99","B","B4","Co Executive Producer","10+ years","MORTGAGE","478400","900xx,CA","15.18","1","0","15","0","295314","67.9","38","1522.65","0","0","0","0","31th week","0","1216","1272321","327700","1.0"
"19425","19425","19400.0","60 months","BAT5903747","13.99","C","C1","USAR","2 years","MORTGAGE","53000","064xx,CT","27.7","0","2","12","0","33899","74.8","21","6932.73","0","0","0","0","187th week","0",,"0","0","1.0"
"5850","5850","5850.0","36 months","BAT4818662","8.39","A","A5","Field service Tech","3 years","MORTGAGE","42000","473xx,IN","12.31","0","0","5","0","7155","68.8","12","598.59","0","0","0","0","83th week","0","0","119273","10400","1.0"
"7000","7000","7000.0","36 months","BAT3840785","6.68","A","A3","mailer","10+ years","MORTGAGE","90000","023xx,MA","9.37","0","0","5","0","9863","28.2","16","281.37","0","0","0","0","35th week","0","0","20352","35000","1.0"
"18000","18000","18000.0","60 months","BAT3563724","19.52","D","D4","Executive Assistant","2 years","RENT","48000","601xx,IL","17.58","0","3","12","0","14039","58","23","4282.06","0","0","0","0","65th week","0","0","33674","24200","1.0"
"12000","12000","12000.0","36 months","BAT3016651","18.25","D","D3","Systems Engineer","4 years","RENT","111000","981xx,WA","3.39","0","1","9","1","11028","57.4","15","2818.65","0","0","0","0","87th week","0","399","11028","19200","1.0"
"23075","23075","23075.0","60 months","BAT3274746","16.59","D","D1","Asst Operations Mngr","10+ years","MORTGAGE","55000","360xx,AL","25.09","0","0","8","0","7204","36.9","23","5667.48","0","0","0","0","87th week","0","0","133996","19500","1.0"
"5000","5000","5000.0","36 months","BAT5060554","12.39","C","C1","Parent Coordinator","10+ years","RENT","42000","114xx,NY","24.49","0","0","8","0","5896","74.6","16","534.66","0","0","0","0","52th week","0","0","20094","7900","1.0"
"6000","6000","6000.0","36 months","BAT4106493","10.99","B","B4","Sales Rep","< 1 year","RENT","70000","553xx,MN","12.89","0","0","5","1","7404","91.4","13","78.77","0","0","0","0","9th week","0","0","31084","8100","1.0"
"24000","24000","24000.0","36 months","BAT5046402","8.9","A","A5","South Island P S D","10+ years","MORTGAGE","90000","299xx,SC","21.85","0","1","17","0","43234","46.7","42","3399.29","0","0","0","0","144th week","0","0","69842","92500","1.0"
"12000","12000","12000.0","60 months","BAT5662637","13.99","C","C4","Property Manager","10+ years","MORTGAGE","51000","185xx,PA","10.73","0","0","13","1","9353","35","21","805.34","0","0","0","0","26th week","0","0","134060","27060","1.0"
"28000","28000","28000.0","60 months","BAT5319342","20.99","E","E4","Asst. Manager","10+ years","MORTGAGE","130000","295xx,SC","21.29","1","0","15","0","31342","88.3","28","8028.31","0","0","0","0","78th week","0","0","129358","35500","1.0"
"21000","21000","21000.0","60 months","BAT5662637","9.17","B","B2","City Engineer","9 years","OWN","90000","863xx,AZ","23.79","0","0","12","0","59119","76.3","30","920.05","0","0","0","0","26th week","0","0","418635","72500","1.0"
"12000","12000","12000.0","60 months","BAT3016651","19.47","D","D5","General Manager","5 years","MORTGAGE","55000","532xx,WI","13.11","0","1","9","0","5068","61.1","12","3782.27","0","0","0","0","96th week","0","0","102197","8300","1.0"
"10800","10800","10800.0","36 months","BAT6462144","13.67","B","B5","department of interioror","2 years","RENT","91955","960xx,CA","7.4","1","0","9","0","4374","59.1","16","2425.76","0","0","0","0","161th week","0",,"0","0","1.0"
"6000","6000","6000.0","36 months","BAT6248271","6.03","A","A1","Sales","10+ years","MORTGAGE","79000","761xx,TX","6.27","0","0","10","0","8249","10.8","33","366","0","0","0","0","65th week","0","0","155791","76700","1.0"
"10000","10000","10000.0","36 months","BAT4106493","17.57","D","D4","Chief Electrician","3 years","MORTGAGE","205000","365xx,AL","16.35","0","0","12","1","7867","72.2","24","270.2","0","0","0","1","9th week","0","211","378913","10900","1.0"
"14400","14400","14400.0","60 months","BAT4031849","13.68","C","C1","Columbus Regional Hospital","10+ years","MORTGAGE","48000","472xx,IN","21.13","0","0","10","1","13498","89.4","23","3791.12","0","0","0","0","122th week","0","0","194292","15100","1.0"
"28000","28000","28000.0","60 months","BAT4127326","17.14","D","D4","Data Analysis Manager","10+ years","MORTGAGE","109000","238xx,VA","7.56","0","0","13","0","20786","47.3","33","4795.72","0","0","0","0","56th week","0","0","294031","43900","1.0"
"24000","24000","23950.0","36 months","BAT5319342","12.49","B","B5","Enigineer","10+ years","MORTGAGE","120000","913xx,CA","20.32","0","3","12","0","58484","81.3","30","2763.21","0","0","0","0","57th week","0","0","411468","71900","1.0"
"15000","15000","15000.0","36 months","BAT4467682","16.77","D","D2","iTech us inc","6 years","RENT","95000","211xx,MD","7.29","0","1","5","0","5355","84.6","8","1207.06","0","0","0","0","30th week","0",,"0","0","1.0"
"30000","30000","30000.0","60 months","BAT4106493","18.49","E","E2","Director","< 1 year","RENT","75000","334xx,FL","20.56","0","0","12","0","6167","24.1","28","416.03","0","0","0","0","4th week","0","41","47721","25600","1.0"
"15600","15600","15600.0","60 months","BAT4268557","14.65","C","C5","relationship banker","1 year","MORTGAGE","50000","917xx,CA","16.32","0","2","9","0","21915","92.5","18","1790.86","0","0","0","0","44th week","0","0","312035","23700","1.0"
"10000","10000","10000.0","36 months","BAT3840785","9.17","B","B2","whse/receiving","10+ years","MORTGAGE","33280","853xx,AZ","19.7","0","0","10","0","6290","41.1","17","548.48","0","0","0","0","35th week","0","0","81639","15300","1.0"
"8000","8000","8000.0","36 months","BAT4725056","9.63","B","B1","Elmhurst Hospital Center","5 years","RENT","65000","114xx,NY","5.02","0","1","5","0","5139","71.4","15","1240.48","0","0","0","0","161th week","0",,"0","0","1.0"
"1400","1400","1400.0","36 months","BAT6004464","16.59","D","D2","Human Resource","10+ years","MORTGAGE","54000","355xx,AL","20.24","0","2","10","0","4055","46.1","14","0","0","0","0","0","NAth week","0","0","105464","8800","1.0"
"17275","17275","17275.0","36 months","BAT5241177","11.53","B","B5","Plumber","7 years","RENT","60000","113xx,NY","15.84","0","0","19","0","22587","49.9","38","475.2","0","0","0","0","13th week","0","0","22587","45300","1.0"
"16000","16000","15989.47774","36 months","BAT524649","13.22","C","C2","Prince George's County Government","10+ years","MORTGAGE","89000","207xx,MD","5.66","0","3","4","0","6847","75.2","16","3448.85","0","0","0","0","148th week","0",,"0","0","1.0"
"10800","10800","10800.0","60 months","BAT4127326","20.99","E","E4",,"n/a","MORTGAGE","50000","319xx,GA","18.53","2","2","10","1","5581","57.6","39","2443.2","0","0","0","0","61th week","0","0","102087","8500","1.0"
"19050","19050","19050.0","60 months","BAT4127326","25.8","G","G1","Software engineer","3 years","RENT","85000","554xx,MN","12.72","0","0","5","0","3817","60.6","5","4645.69","0","0","0","0","52th week","0","0","31314","6300","1.0"
"33825","33825","33825.0","60 months","BAT3016651","24.08","F","F2","Vice President- Branch Sales Manager","10+ years","RENT","120000","331xx,FL","15.15","1","2","9","0","11248","80.9","19","6526.15","48.73","5695.47","1025.1846","0","44th week","0","0","43547","13900","1.0"
"15000","15000","15000.0","36 months","BAT5260863","10.99","B","B4","supervisor","< 1 year","MORTGAGE","60000","762xx,TX","20.74","0","0","6","0","10459","69.3","19","317.3","0","0","0","0","13th week","0","0","161182","15100","1.0"
"14400","14400","14400.0","60 months","BAT5260863","12.29","C","C1","Personal Banker","< 1 year","MORTGAGE","45000","328xx,FL","16.21","0","0","13","0","53108","44.1","21","427.22","0","0","0","0","13th week","0","0","152830","65500","1.0"
"12000","12000","12000.0","36 months","BAT4127326","11.44","B","B4","General Manager","10+ years","MORTGAGE","50000","871xx,NM","33.73","0","0","9","0","58592","51.4","15","1263.16","0","0","0","0","56th week","0","0","217315","69000","1.0"
"12000","12000","12000.0","36 months","BAT422167","10.99","B","B4","Office Mgr","10+ years","MORTGAGE","92000","550xx,MN","37.2","0","0","19","0","42634","70.5","43","706.72","0","0","0","0","31th week","0","0","266396","60500","1.0"
"35000","35000","35000.0","36 months","BAT3840785","16.55","D","D2","Director of Admissions","4 years","RENT","180000","070xx,NJ","11.59","0","0","5","0","23450","86.9","15","3074.06","0","0","0","0","31th week","0","0","72581","27000","1.0"
"12000","12000","12000.0","60 months","BAT6004464","13.18","C","C3","IT Systems Administrator","< 1 year","RENT","84000","906xx,CA","25.41","0","0","15","0","31361","87.6","38","114.23","0","0","0","0","4th week","0","0","71098","35800","1.0"
"25000","25000","25000.0","60 months","BAT3141736","11.14","B","B2","Spirax Sarco","8 years","OWN","80000","704xx,LA","3.55","1","0","10","0","7619","15.9","21","5962.04","0","0","0","0","144th week","0","69","7619","47800","1.0"
"25000","25000","24850.0","60 months","BAT5851442","14.83","D","D3","Raytheon Technocal Services","10+ years","MORTGAGE","142000","211xx,MD","19.17","0","0","13","0","56149","86.5","44","10546.6","0","0","0","0","257th week","0",,"0","0","1.0"
"15600","15600","15600.0","60 months","BAT4664105","16.55","D","D2","truck driver","2 years","MORTGAGE","55000","244xx,VA","26.05","1","2","8","1","8025","85.4","21","944.58","0","0","0","0","22th week","0","0","137464","9400","1.0"
"10000","10000","10000.0","36 months","BAT5319342","22.15","E","E5","Software QA","6 years","RENT","38000","992xx,WA","24.8","0","3","8","0","4460","49.6","15","467.73","0","1424.19","256.3542","0","18th week","0","0","19718","9000","1.0"
"35000","35000","35000.0","60 months","BAT5260863","16.55","D","D2","Senior Vice President & General Counsel","3 years","MORTGAGE","250000","773xx,TX","17.11","0","1","17","0","35014","56.9","38","928.01","0","0","0","0","9th week","0","0","610189","61500","1.0"
"15000","15000","15000.0","36 months","BAT5260863","12.29","C","C1","night shift supervisor","8 years","RENT","62000","191xx,PA","9.04","2","1","6","0","5271","29.1","10","491.16","0","0","0","0","13th week","0","0","9872","18100","1.0"
"22000","22000","22000.0","60 months","BAT4106493","13.18","C","C3","warehouse manager","10+ years","RENT","70000","916xx,CA","28.5","0","0","12","0","23108","91.3","20","209.41","0","0","0","0","4th week","0","0","66743","25300","1.0"
"27750","27750","27725.0","60 months","BAT5903747","20.99","E","E3",,"n/a","MORTGAGE","66000","799xx,TX","21.4","0","1","14","0","23169","70.9","22","4630.22","0","0","0","0","43th week","0",,"0","0","1.0"
"32000","32000","32000.0","60 months","BAT3780546","16.78","C","C5","FCC LLC","8 years","MORTGAGE","120000","070xx,NJ","8.97","0","0","10","0","36881","68.3","27","10748.5","0","0","0","0","126th week","0","0","337632","54000","1.0"
"8000","8000","8000.0","36 months","BAT3840785","12.29","C","C1","Passenger Service Agent","10+ years","RENT","63699.83","462xx,IN","29.3","0","1","16","0","6858","78.8","39","595.88","0","0","0","0","35th week","0","0","91843","8700","1.0"
"19125","19125","19125.0","36 months","BAT4031849","15.22","C","C3","Penske Truck Leasing","8 years","RENT","44000","600xx,IL","11.15","1","0","9","0","12718","83.7","20","3225.13","33.25","6250.2","1091.7352","0","65th week","0","0","15424","15200","1.0"
"2400","2400","2400.0","36 months","BAT4729018","16.99","D","D3","Benefits Specialist","4 years","RENT","30000","770xx,TX","23.36","0","2","14","0","2784","56.8","18","301.14","0","0","0","0","48th week","0","115","55362","4900","1.0"
"35000","35000","35000.0","36 months","BAT5260863","13.33","C","C3","Internet Sales Manager","8 years","MORTGAGE","150000","310xx,GA","19.06","0","1","26","3","19143","23.1","50","742.82","0","0","0","0","9th week","0","0","61654","82700","1.0"
"10700","10700","10700.0","36 months","BAT4818662","10.15","B","B2","Implementation Manager","9 years","RENT","76000","850xx,AZ","17.05","0","1","17","1","10420","40.4","36","1331.68","0","0","0","0","83th week","0","0","67722","25800","1.0"
"2000","2000","2000.0","36 months","BAT3780546","24.5","F","F3","Howard County Public School system","10+ years","MORTGAGE","85100","210xx,MD","20.91","0","1","6","0","9865","95.8","12","801.91","0","0","0","0","126th week","0","0","53296","10300","1.0"
"14000","14000","14000.0","36 months","BAT5662637","12.69","C","C2","Pipefitter","10+ years","MORTGAGE","63000","267xx,WV","31.05","0","1","13","0","12462","76","29","696.01","0","0","0","0","22th week","0","0","54704","16400","1.0"
"5600","5600","1975.009263","36 months","BAT5278942","14.82","E","E3","The Walt Disney Company","2 years","RENT","73000","900xx,CA","20.6","0","2","7","0","2166","83.3","28","799.79","0","173.53","1.8","0","61th week","0",,"0","0","1.0"
"16000","16000","16000.0","36 months","BAT422167","5.32","A","A1","Lab Supervisor","10+ years","MORTGAGE","90000","774xx,TX","8.81","0","1","13","0","8467","17.3","31","446.87","0","0","0","0","31th week","0","0","168787","49000","1.0"
"14000","14000","13925.0","60 months","BAT3780546","17.56","D","D1",,"3 years","MORTGAGE","105000","761xx,TX","25.73","0","2","11","0","33276","79.4","22","4941.14","17.61","0","0","0","126th week","0","0","482633","41900","1.0"
"6000","6000","6000.0","36 months","BAT5319342","12.49","B","B5","Nurse","10+ years","MORTGAGE","45000","670xx,KS","20.03","1","0","11","0","8564","49.8","20","891.23","0","0","0","0","78th week","0","780","112646","17200","1.0"
"12075","12075","12075.0","60 months","BAT5662637","15.61","D","D1","General Accountant","3 years","MORTGAGE","70000","928xx,CA","5.21","0","1","9","1","8301","77","19","757.24","0","0","0","0","26th week","0","0","290813","9900","1.0"
"28000","28000","28000.0","36 months","BAT4729018","13.33","C","C3","Teacher","2 years","MORTGAGE","170000","781xx,TX","13.74","1","0","34","0","25778","48.3","64","2740.9","0","0","0","0","48th week","1","0","83753","53400","1.0"
"35000","35000","35000.0","60 months","BAT4127326","17.14","D","D4","Multifamily Representative","10+ years","MORTGAGE","122000","200xx,DC","16.57","0","0","8","0","40847","88.2","13","5977.99","0","0","0","0","56th week","0","0","403321","46300","1.0"
"5000","5000","5000.0","36 months","BAT4106493","11.49","B","B5","bldg engineer","8 years","RENT","53000","773xx,TX","13.08","0","0","10","0","4812","40.8","16","43.08","0","0","0","0","9th week","0","1126","22885","11800","1.0"
"12500","12500","12500.0","36 months","BAT3554832","18.49","D","D2","Toyo Tire North America","7 years","MORTGAGE","94000","301xx,GA","10.35","2","3","10","0","22187","89.5","29","192.96","0","0","0","0","4th week","0","0","232326","24800","1.0"
"4800","4800","4800.0","36 months","BAT4408664","12.12","B","B3","US Army","10+ years","MORTGAGE","95000","221xx,VA","25.44","0","1","15","0","40038","97.6","23","949.3","0","0","0","0","156th week","0","0","285900","41035","1.0"
"30000","30000","29925.0","60 months","BAT4106493","15.41","D","D1","Maintenance Technician","10+ years","MORTGAGE","75000","286xx,NC","16.24","1","0","11","0","20957","91.9","14","423.78","0","0","0","0","4th week","0","811","115510","22800","1.0"
"5400","5400","5400.0","36 months","BAT3274746","17.57","D","D2","A operator","< 1 year","MORTGAGE","86000","713xx,LA","18.77","1","1","10","0","2559","56.9","21","1231.43","0","0","0","0","87th week","0","136","48223","4500","1.0"
"16575","16575","16575.0","60 months","BAT3840785","19.52","E","E3","sales representative","2 years","RENT","46200","104xx,NY","8.49","0","0","4","0","5059","81.6","19","2043.31","0","0","0","0","35th week","0","0","8541","6200","1.0"
"35000","35000","34975.0","36 months","BAT5903747","13.67","B","B5","Harvey Mudd College","< 1 year","MORTGAGE","150000","917xx,CA","8.99","0","6","9","0","22435","38.6","22","2930.84","0","0","0","0","35th week","0",,"0","0","1.0"
"10800","10800","10800.0","36 months","BAT422167","15.61","D","D1","Bookkeeper","4 years","OWN","30000","902xx,CA","31.12","0","0","10","0","7302","54.9","18","907.86","0","0","0","0","31th week","0","0","14537","13300","1.0"
"15000","15000","15000.0","60 months","BAT446479","11.67","B","B4","Team Leader","9 years","MORTGAGE","80000","403xx,KY","20.79","0","0","11","0","14368","32.5","29","2222.46","0","0","0","0","74th week","0","400","301491","44200","1.0"
"5000","5000","5000.0","36 months","BAT4664105","10.99","B","B4",,"n/a","OWN","36000","347xx,FL","35.1","0","0","9","0","6923","27.8","17","215.01","0","0","0","0","22th week","0","0","43703","24900","1.0"
"12000","12000","11975.0","36 months","BAT4467682","13.49","C","C1","Pramac Industries Inc.","5 years","MORTGAGE","40000","330xx,FL","13.65","0","1","8","0","6223","50.2","14","2071.33","0","0","0","0","87th week","0",,"0","0","1.0"
"15000","15000","14975.0","60 months","BAT5241177","15.61","D","D1","Security officer","10+ years","MORTGAGE","46000","743xx,OK","33.89","0","0","9","0","14097","64.1","25","741.37","0","0","0","0","17th week","0","0","194189","22000","1.0"
"18000","18000","18000.0","36 months","BAT3041298","18.25","D","D2","Bank of America","5 years","MORTGAGE","80000","296xx,SC","19.26","2","0","13","0","46065","85.8","24","3999.97","0","0","0","0","78th week","0","0","183310","53700","1.0"
"18000","18000","17875.0","36 months","BAT6248271","10.99","B","B3","Programming Staff","10+ years","MORTGAGE","83000","711xx,LA","25.26","1","0","21","0","13530","74.8","63","2048.02","0","0","0","0","65th week","0","0","176114","18100","1.0"
"10000","10000","10000.0","60 months","BAT4729018","9.49","B","B2","Environmental Coordinator","5 years","MORTGAGE","87900","776xx,TX","16.89","0","0","8","0","1846","59.5","15","399.06","0","0","0","0","21th week","0","470","306573","3100","1.0"
"12000","12000","11975.0","36 months","BAT4192219","7.14","A","A3","Gfg Medical, PC","4 years","RENT","78000","104xx,NY","22.32","0","0","15","0","8349","9.2","50","1332.15","0","0","0","0","135th week","0",,"0","0","1.0"
"8000","8000","8000.0","36 months","BAT5260863","10.99","B","B4","fire service tech","1 year","RENT","26880","864xx,AZ","1.12","0","1","14","0","554","2.2","17","63.5","0","0","0","0","4th week","0","0","14910","24900","1.0"
"24000","24000","24000.0","36 months","BAT4127326","6.03","A","A1","Principal Consultant","5 years","MORTGAGE","151000","017xx,MA","13.98","0","0","15","0","98462","61.1","37","1387.76","0","0","0","0","61th week","0","0","416215","121200","1.0"
"35000","35000","34850.0","36 months","BAT6004464","13.18","C","C3","Writer","10+ years","MORTGAGE","190000","088xx,NJ","8.22","0","0","7","0","40142","86.7","18","358.79","0","0","0","0","4th week","0","0","336297","46300","1.0"
"15450","15450","15450.0","36 months","BAT3274746","6.03","A","A1","Director of Bible College","2 years","OWN","75000","925xx,CA","8.58","0","1","6","0","8314","19.3","22","1119.83","0","0","0","0","78th week","0","0","130339","43000","1.0"
"18000","18000","18000.0","36 months","BAT4711174","15.61","C","C3","Executive Assistant","< 1 year","RENT","150000","100xx,NY","9.99","1","1","18","0","17629","78.4","31","686.45","0","0","0","0","13th week","0","0","51020","22500","1.0"
"5000","5000","5000.0","36 months","BAT422167","11.53","B","B5","Safety manager","9 years","RENT","85000","105xx,NY","16.6","3","1","7","0","5213","43.1","21","305.91","0","0","0","0","31th week","0","0","18617","12100","1.0"
"4500","4500","4500.0","36 months","BAT4729018","12.99","C","C2",,"n/a","OWN","15000","956xx,CA","23.76","0","4","6","0","9452","53","7","469.29","0","0","0","0","48th week","0","0","9452","17700","1.0"
"18000","18000","18000.0","60 months","BAT3840785","19.52","E","E3","welder","< 1 year","RENT","53600","983xx,WA","17.22","0","0","7","0","9679","87.2","13","2238.5","0","0","0","0","35th week","0","0","16034","11100","1.0"
"14000","14000","14000.0","36 months","BAT4138794","13.11","B","B4","Hajoca Corp","6 years","MORTGAGE","62000","194xx,PA","9.38","1","0","9","0","17601","30.7","23","3003.34","0","0","0","0","156th week","0","0","17601","57300","1.0"
"25000","25000","25000.0","60 months","BAT4127326","8.67","B","B1","Real Estate Agent","10+ years","MORTGAGE","150000","781xx,TX","18.1","0","2","9","0","24014","58.7","37","2248.81","0","0","0","0","56th week","0","0","399192","40900","1.0"
"10000","10000","10000.0","36 months","BAT4106493","14.33","C","C5","personal banker","< 1 year","RENT","34000","485xx,MI","4.48","0","0","4","0","1798","30","5","224.22","0","0","0","0","9th week","0","250","13151","6000","1.0"
"11000","11000","11000.0","60 months","BAT446479","9.17","B","B1","Sr. Solutions Architect","< 1 year","MORTGAGE","140000","750xx,TX","11.04","0","0","8","0","13459","22.9","22","1206.92","0","0","0","0","70th week","0","0","276477","58700","1.0"
"21000","21000","21000.0","60 months","BAT4664105","12.29","C","C1","Optical Transport System Specialist","2 years","RENT","78905","926xx,CA","8.56","0","0","6","0","12640","95","8","830.17","0","0","0","0","17th week","0","0","19944","13300","1.0"
"28000","28000","28000.0","36 months","BAT5319342","8.39","A","A5","Sr Accountant","10+ years","MORTGAGE","95000","038xx,NH","17.41","0","1","26","0","25102","64.9","65","2761.09","0","0","0","0","78th week","0","0","376323","38700","1.0"
"6000","6000","6000.0","36 months","BAT4268557","10.99","B","B4","Mailhandler","10+ years","MORTGAGE","62000","320xx,FL","15.81","0","0","5","1","1211","28.2","10","507.63","0","0","0","0","44th week","0","0","34983","4300","1.0"
"21000","21000","21000.0","60 months","BAT3554832","18.75","D","D3","IBM","3 years","RENT","62000","805xx,CO","17.24","0","3","10","0","16252","18.9","19","6598.45","0","0","0","0","100th week","0","0","40695","85800","1.0"
"2525","2525","2525.0","36 months","BAT5260863","14.65","C","C5","Cdl driver","1 year","RENT","30000","967xx,HI","30.2","3","1","13","0","838","7.5","23","58.91","0","0","0","1","9th week","0","0","25810","11100","1.0"
"8000","8000","8000.0","36 months","BAT4729018","12.69","C","C2","Truck Driver","10+ years","RENT","70000","941xx,CA","4.92","0","0","3","0","10159","82.6","6","808.98","0","0","0","0","48th week","0","0","10159","12300","1.0"
"12000","12000","12000.0","60 months","BAT6612051","13.33","C","C3","Administrative Assistant","10+ years","MORTGAGE","38500","559xx,MN","10.13","0","1","9","1","2917","43.5","34","1012.42","0","0","0","0","39th week","0","708","3783","6700","1.0"
"28000","28000","28000.0","36 months","BAT5260863","7.89","A","A5","Director","5 years","MORTGAGE","350000","088xx,NJ","2.53","0","1","13","0","31782","42","26","351.38","0","0","0","0","9th week","0","508","737728","92000","1.0"
"19200","19200","19200.0","36 months","BAT4664105","9.17","B","B2","Plumbing Foreman","10+ years","MORTGAGE","57000","799xx,TX","11.56","0","2","6","0","11810","73","17","687.99","0","0","0","0","22th week","0","0","238501","16100","1.0"
"12150","12150","12150.0","60 months","BAT4729018","21.67","E","E5","janitor","4 years","RENT","36000","617xx,IL","27.03","0","2","22","0","12571","40.2","32","2104.26","0","0","0","0","43th week","0","5429","21974","31300","1.0"
